initial state:
1 | B 
2 | C E 
3 | A D 

it= 436 , queue= 363 , f=g+h= 10 , depth=  8
it= 437 , queue= 364 , f=g+h= 10 , depth=  7
it= 438 , queue= 363 , f=g+h= 10 , depth=  7
it= 439 , queue= 364 , f=g+h= 10 , depth=  6
it= 440 , queue= 365 , f=g+h= 10 , depth=  6
it= 441 , queue= 366 , f=g+h= 10 , depth=  6
it= 442 , queue= 367 , f=g+h= 10 , depth=  6
it= 443 , queue= 368 , f=g+h= 10 , depth=  6
it= 444 , queue= 369 , f=g+h= 10 , depth=  6
it= 445 , queue= 369 , f=g+h= 10 , depth=  6
it= 446 , queue= 368 , f=g+h= 10 , depth=  6
it= 447 , queue= 369 , f=g+h= 10 , depth=  6
it= 448 , queue= 368 , f=g+h= 10 , depth=  6
it= 449 , queue= 369 , f=g+h= 10 , depth=  6
it= 450 , queue= 368 , f=g+h= 10 , depth=  7
it= 451 , queue= 367 , f=g+h= 10 , depth=  7
it= 452 , queue= 366 , f=g+h= 10 , depth=  7
it= 453 , queue= 367 , f=g+h= 10 , depth=  7
it= 454 , queue= 368 , f=g+h= 10 , depth=  7
it= 455 , queue= 369 , f=g+h= 10 , depth=  8
it= 456 , queue= 370 , f=g+h= 10 , depth=  8
it= 457 , queue= 369 , f=g+h= 10 , depth=  8
it= 458 , queue= 368 , f=g+h= 10 , depth=  7
it= 459 , queue= 368 , f=g+h= 10 , depth=  9
it= 460 , queue= 368 , f=g+h= 10 , depth=  7
it= 461 , queue= 367 , f=g+h= 10 , depth=  7
it= 462 , queue= 366 , f=g+h= 10 , depth=  8
it= 463 , queue= 367 , f=g+h= 10 , depth=  9
it= 464 , queue= 366 , f=g+h= 10 , depth=  8
success! depth= 10 , total_goal_tests= 465 , max_queue_size= 370
solution path:
1 | B 
2 | C E 
3 | A D 

1 | B 
2 | C E D 
3 | A 

1 | 
2 | C E D B 
3 | A 

1 | A 
2 | C E D B 
3 | 

1 | A B 
2 | C E D 
3 | 

1 | A B 
2 | C E 
3 | D 

1 | A B 
2 | C 
3 | D E 

1 | A B C 
2 | 
3 | D E 

1 | A B C 
2 | E 
3 | D 

1 | A B C D 
2 | E 
3 | 

1 | A B C D E 
2 | 
3 | 

